postgres	postgres	car_shop_db	information_schema	usage_privileges	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_column_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_routine_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_table_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	views	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	views	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	views	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	views	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	views	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	data_type_privileges	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	element_types	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	element_types	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_data_wrapper_options	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_data_wrappers	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_server_options	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	TRIGGER	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	SELECT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	INSERT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	UPDATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	DELETE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	TRUNCATE	YES	NO
