pg_catalog.avg	int8_avg_accum	numeric_avg	0	1231	{0,0}
pg_catalog.avg	int4_avg_accum	int8_avg	0	1016	{0,0}
pg_catalog.avg	int2_avg_accum	int8_avg	0	1016	{0,0}
pg_catalog.avg	numeric_avg_accum	numeric_avg	0	1231	{0,0}
pg_catalog.avg	float4_accum	float8_avg	0	1022	{0,0,0}
pg_catalog.avg	float8_accum	float8_avg	0	1022	{0,0,0}
pg_catalog.avg	interval_accum	interval_avg	0	1187	{0 second,0 second}
pg_catalog.sum	int8_sum	-	0	1700	
pg_catalog.sum	int4_sum	-	0	20	
pg_catalog.sum	int2_sum	-	0	20	
pg_catalog.sum	float4pl	-	0	700	
pg_catalog.sum	float8pl	-	0	701	
pg_catalog.sum	cash_pl	-	0	790	
pg_catalog.sum	interval_pl	-	0	1186	
pg_catalog.sum	numeric_add	-	0	1700	
pg_catalog.max	int8larger	-	413	20	
pg_catalog.max	int4larger	-	521	23	
pg_catalog.max	int2larger	-	520	21	
pg_catalog.max	oidlarger	-	610	26	
pg_catalog.max	float4larger	-	623	700	
pg_catalog.max	float8larger	-	674	701	
pg_catalog.max	int4larger	-	563	702	
pg_catalog.max	date_larger	-	1097	1082	
pg_catalog.max	time_larger	-	1112	1083	
pg_catalog.max	timetz_larger	-	1554	1266	
pg_catalog.max	cashlarger	-	903	790	
pg_catalog.max	timestamp_larger	-	2064	1114	
pg_catalog.max	timestamptz_larger	-	1324	1184	
pg_catalog.max	interval_larger	-	1334	1186	
pg_catalog.max	text_larger	-	666	25	
pg_catalog.max	numeric_larger	-	1756	1700	
pg_catalog.max	array_larger	-	1073	2277	
pg_catalog.max	bpchar_larger	-	1060	1042	
pg_catalog.max	tidlarger	-	2800	27	
pg_catalog.max	enum_larger	-	3519	3500	
pg_catalog.min	int8smaller	-	412	20	
pg_catalog.min	int4smaller	-	97	23	
pg_catalog.min	int2smaller	-	95	21	
pg_catalog.min	oidsmaller	-	609	26	
pg_catalog.min	float4smaller	-	622	700	
pg_catalog.min	float8smaller	-	672	701	
pg_catalog.min	int4smaller	-	562	702	
pg_catalog.min	date_smaller	-	1095	1082	
pg_catalog.min	time_smaller	-	1110	1083	
pg_catalog.min	timetz_smaller	-	1552	1266	
pg_catalog.min	cashsmaller	-	902	790	
pg_catalog.min	timestamp_smaller	-	2062	1114	
pg_catalog.min	timestamptz_smaller	-	1322	1184	
pg_catalog.min	interval_smaller	-	1332	1186	
pg_catalog.min	text_smaller	-	664	25	
pg_catalog.min	numeric_smaller	-	1754	1700	
pg_catalog.min	array_smaller	-	1072	2277	
pg_catalog.min	bpchar_smaller	-	1058	1042	
pg_catalog.min	tidsmaller	-	2799	27	
pg_catalog.min	enum_smaller	-	3518	3500	
pg_catalog.count	int8inc_any	-	0	20	0
pg_catalog.count	int8inc	-	0	20	0
pg_catalog.var_pop	int8_accum	numeric_var_pop	0	1231	{0,0,0}
pg_catalog.var_pop	int4_accum	numeric_var_pop	0	1231	{0,0,0}
pg_catalog.var_pop	int2_accum	numeric_var_pop	0	1231	{0,0,0}
pg_catalog.var_pop	float4_accum	float8_var_pop	0	1022	{0,0,0}
pg_catalog.var_pop	float8_accum	float8_var_pop	0	1022	{0,0,0}
pg_catalog.var_pop	numeric_accum	numeric_var_pop	0	1231	{0,0,0}
pg_catalog.var_samp	int8_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.var_samp	int4_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.var_samp	int2_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.var_samp	float4_accum	float8_var_samp	0	1022	{0,0,0}
pg_catalog.var_samp	float8_accum	float8_var_samp	0	1022	{0,0,0}
pg_catalog.var_samp	numeric_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.variance	int8_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.variance	int4_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.variance	int2_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.variance	float4_accum	float8_var_samp	0	1022	{0,0,0}
pg_catalog.variance	float8_accum	float8_var_samp	0	1022	{0,0,0}
pg_catalog.variance	numeric_accum	numeric_var_samp	0	1231	{0,0,0}
pg_catalog.stddev_pop	int8_accum	numeric_stddev_pop	0	1231	{0,0,0}
pg_catalog.stddev_pop	int4_accum	numeric_stddev_pop	0	1231	{0,0,0}
pg_catalog.stddev_pop	int2_accum	numeric_stddev_pop	0	1231	{0,0,0}
pg_catalog.stddev_pop	float4_accum	float8_stddev_pop	0	1022	{0,0,0}
pg_catalog.stddev_pop	float8_accum	float8_stddev_pop	0	1022	{0,0,0}
pg_catalog.stddev_pop	numeric_accum	numeric_stddev_pop	0	1231	{0,0,0}
pg_catalog.stddev_samp	int8_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev_samp	int4_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev_samp	int2_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev_samp	float4_accum	float8_stddev_samp	0	1022	{0,0,0}
pg_catalog.stddev_samp	float8_accum	float8_stddev_samp	0	1022	{0,0,0}
pg_catalog.stddev_samp	numeric_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev	int8_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev	int4_accum	numeric_stddev_samp	0	1231	{0,0,0}
pg_catalog.stddev	int2_accum	numeric_stddev_samp	0	1231	{0,0,0}
