20	21	714	a	f
20	23	480	a	f
20	700	652	i	f
20	701	482	i	f
20	1700	1781	i	f
21	20	754	i	f
21	23	313	i	f
21	700	236	i	f
21	701	235	i	f
21	1700	1782	i	f
23	20	481	i	f
23	21	314	a	f
23	700	318	i	f
23	701	316	i	f
23	1700	1740	i	f
700	20	653	a	f
700	21	238	a	f
700	23	319	a	f
700	701	311	i	f
700	1700	1742	a	f
701	20	483	a	f
701	21	237	a	f
701	23	317	a	f
701	700	312	a	f
701	1700	1743	a	f
1700	20	1779	a	f
1700	21	1783	a	f
1700	23	1744	a	f
1700	700	1745	i	f
1700	701	1746	i	f
23	16	2557	e	f
16	23	2558	e	f
20	26	1287	i	f
21	26	313	i	f
23	26	0	i	b
26	20	1288	a	f
26	23	0	a	b
26	24	0	i	b
24	26	0	i	b
20	24	1287	i	f
21	24	313	i	f
23	24	0	i	b
24	20	1288	a	f
24	23	0	a	b
24	2202	0	i	b
2202	24	0	i	b
26	2202	0	i	b
2202	26	0	i	b
20	2202	1287	i	f
21	2202	313	i	f
23	2202	0	i	b
2202	20	1288	a	f
2202	23	0	a	b
26	2203	0	i	b
2203	26	0	i	b
20	2203	1287	i	f
21	2203	313	i	f
23	2203	0	i	b
2203	20	1288	a	f
2203	23	0	a	b
2203	2204	0	i	b
2204	2203	0	i	b
26	2204	0	i	b
2204	26	0	i	b
20	2204	1287	i	f
21	2204	313	i	f
23	2204	0	i	b
2204	20	1288	a	f
2204	23	0	a	b
26	2205	0	i	b
2205	26	0	i	b
20	2205	1287	i	f
21	2205	313	i	f
23	2205	0	i	b
2205	20	1288	a	f
2205	23	0	a	b
26	2206	0	i	b
2206	26	0	i	b
20	2206	1287	i	f
21	2206	313	i	f
23	2206	0	i	b
2206	20	1288	a	f
2206	23	0	a	b
26	3734	0	i	b
3734	26	0	i	b
20	3734	1287	i	f
21	3734	313	i	f
23	3734	0	i	b
3734	20	1288	a	f
3734	23	0	a	b
26	3769	0	i	b
3769	26	0	i	b
20	3769	1287	i	f
21	3769	313	i	f
23	3769	0	i	b
3769	20	1288	a	f
3769	23	0	a	b
25	2205	1079	i	f
1043	2205	1079	i	f
25	1042	0	i	b
25	1043	0	i	b
1042	25	401	i	f
1042	1043	401	i	f
1043	25	0	i	b
1043	1042	0	i	b
18	25	946	i	f
18	1042	860	a	f
18	1043	946	a	f
19	25	406	i	f
19	1042	408	a	f
19	1043	1401	a	f
25	18	944	a	f
1042	18	944	a	f
1043	18	944	a	f
25	19	407	i	f
1042	19	409	i	f
1043	19	1400	i	f
18	23	77	e	f
23	18	78	e	f
702	1082	1179	a	f
702	1083	1364	a	f
702	1114	2023	i	f
702	1184	1173	i	f
703	1186	1177	i	f
1082	1114	2024	i	f
1082	1184	1174	i	f
1083	1186	1370	i	f
1083	1266	2047	i	f
1114	702	2030	a	f
1114	1082	2029	a	f
1114	1083	1316	a	f
1114	1184	2028	i	f
1184	702	1180	a	f
1184	1082	1178	a	f
1184	1083	2019	a	f
1184	1114	2027	a	f
1184	1266	1388	a	f
1186	703	1194	a	f
1186	1083	1419	a	f
1266	1083	2046	a	f
23	702	0	e	b
702	23	0	e	b
23	703	0	e	b
703	23	0	e	b
601	600	1532	e	f
602	600	1533	e	f
602	604	1449	a	f
603	600	1534	e	f
603	601	1541	e	f
603	604	1448	a	f
603	718	1479	e	f
604	600	1540	e	f
604	602	1447	a	f
604	603	1446	e	f
604	718	1474	e	f
718	600	1416	e	f
718	603	1480	e	f
718	604	1544	e	f
650	869	0	i	b
869	650	1715	a	f
1560	1562	0	i	b
1562	1560	0	i	b
20	1560	2075	e	f
23	1560	1683	e	f
1560	20	2076	e	f
1560	23	1684	e	f
650	25	730	a	f
869	25	730	a	f
16	25	2971	a	f
142	25	0	a	b
25	142	2896	e	f
650	1043	730	a	f
869	1043	730	a	f
16	1043	2971	a	f
142	1043	0	a	b
1043	142	2896	e	f
650	1042	730	a	f
869	1042	730	a	f
16	1042	2971	a	f
142	1042	0	a	b
1042	142	2896	e	f
1042	1042	668	i	f
1043	1043	669	i	f
1083	1083	1968	i	f
1114	1114	1961	i	f
1184	1184	1967	i	f
1186	1186	1200	i	f
1266	1266	1969	i	f
1560	1560	1685	i	f
1562	1562	1687	i	f
1700	1700	1703	i	f
