unknownout	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	705					unknownout			
numeric_fac	11	10	12	1	0	0	false	false	false	true	false	i	1	0	1700	20					numeric_fac			
box_above_eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_above_eq			
box_below_eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_below_eq			
point_in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	600	2275					point_in			
point_out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	600					point_out			
lseg_in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	601	2275					lseg_in			
lseg_out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	601					lseg_out			
path_in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	602	2275					path_in			
path_out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	602					path_out			
box_in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	603	2275					box_in			
box_out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	603					box_out			
box_overlap	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_overlap			
box_ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_ge			
box_gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_gt			
box_eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_eq			
box_lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_lt			
box_le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_le			
point_above	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 600					point_above			
point_left	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 600					point_left			
point_right	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 600					point_right			
point_below	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 600					point_below			
point_eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 600					point_eq			
on_pb	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 603					on_pb			
on_ppath	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	600 602					on_ppath			
box_center	11	10	12	1	0	0	false	false	false	true	false	i	1	0	600	603					box_center			
areasel	11	10	12	1	0	0	false	false	false	true	false	s	4	0	701	2281 26 2281 23					areasel			
areajoinsel	11	10	12	1	0	0	false	false	false	true	false	s	5	0	701	2281 26 2281 21 2281					areajoinsel			
int4mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					int4mul			
int4ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 23					int4ne			
int2ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 21					int2ne			
int2gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 21					int2gt			
int4gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 23					int4gt			
int2le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 21					int2le			
