3748	1	1	3765
3748	2	1	3765
3748	3	1	3765
3748	4	1	3765
3748	5	1	3765
3748	6	1	3765
3748	7	1	3765
3748	8	1	3765
3748	9	1	3765
3748	10	1	3765
3748	11	1	3765
3748	15	1	3765
3748	16	1	3765
3748	17	1	3765
3748	18	1	3765
3748	19	1	3765
3748	20	1	3765
3748	21	1	3765
3748	22	1	3765
11297	4	1	3765
11297	5	1	3765
11297	18	1	3765
11297	6	1	3765
11297	19	1	3765
11297	8	1	3765
11297	7	1	3765
11297	20	1	3765
11297	21	1	3765
11297	22	1	3765
11297	3	1	3765
11297	9	1	3765
11297	15	1	3765
11297	1	1	11296
11297	11	1	11296
11297	16	1	11296
11297	2	1	11296
11297	10	1	11296
11297	17	1	11296
11299	4	1	3765
11299	5	1	3765
11299	18	1	3765
11299	6	1	3765
11299	19	1	3765
11299	8	1	3765
11299	7	1	3765
11299	20	1	3765
11299	21	1	3765
11299	22	1	3765
11299	3	1	3765
11299	9	1	3765
11299	15	1	3765
11299	1	1	11298
11299	11	1	11298
11299	16	1	11298
11299	2	1	11298
11299	10	1	11298
11299	17	1	11298
11301	4	1	3765
11301	5	1	3765
11301	18	1	3765
11301	6	1	3765
11301	19	1	3765
11301	8	1	3765
11301	7	1	3765
11301	20	1	3765
11301	21	1	3765
11301	22	1	3765
11301	3	1	3765
11301	9	1	3765
11301	15	1	3765
11301	1	1	11300
11301	11	1	11300
11301	16	1	11300
11301	2	1	11300
11301	10	1	11300
11301	17	1	11300
11303	4	1	3765
11303	5	1	3765
11303	18	1	3765
11303	6	1	3765
11303	19	1	3765
11303	8	1	3765
11303	7	1	3765
11303	20	1	3765
11303	21	1	3765
11303	22	1	3765
11303	3	1	3765
11303	9	1	3765
11303	15	1	3765
11303	1	1	11302
11303	11	1	11302
11303	16	1	11302
11303	2	1	11302
11303	10	1	11302
11303	17	1	11302
11305	4	1	3765
11305	5	1	3765
11305	18	1	3765
11305	6	1	3765
11305	19	1	3765
11305	8	1	3765
11305	7	1	3765
11305	20	1	3765
11305	21	1	3765
11305	22	1	3765
11305	3	1	3765
11305	9	1	3765
11305	15	1	3765
11305	1	1	11304
11305	11	1	11304
11305	16	1	11304
11305	2	1	11304
11305	10	1	11304
11305	17	1	11304
11307	4	1	3765
11307	5	1	3765
11307	18	1	3765
11307	6	1	3765
11307	19	1	3765
11307	8	1	3765
11307	7	1	3765
11307	20	1	3765
11307	21	1	3765
11307	22	1	3765
11307	3	1	3765
11307	9	1	3765
11307	15	1	3765
11307	1	1	11306
11307	11	1	11306
11307	16	1	11306
11307	2	1	11306
11307	10	1	11306
11307	17	1	11306
11309	4	1	3765
11309	5	1	3765
11309	18	1	3765
11309	6	1	3765
11309	19	1	3765
11309	8	1	3765
11309	7	1	3765
11309	20	1	3765
11309	21	1	3765
11309	22	1	3765
11309	3	1	3765
11309	9	1	3765
11309	15	1	3765
11309	1	1	11308
11309	11	1	11308
11309	16	1	11308
11309	2	1	11308
11309	10	1	11308
11309	17	1	11308
11311	4	1	3765
11311	5	1	3765
11311	18	1	3765
11311	6	1	3765
11311	19	1	3765
11311	8	1	3765
11311	7	1	3765
11311	20	1	3765
11311	21	1	3765
11311	22	1	3765
11311	3	1	3765
11311	9	1	3765
11311	15	1	3765
11311	1	1	11310
11311	11	1	11310
11311	16	1	11310
11311	2	1	11310
11311	10	1	11310
11311	17	1	11310
11313	4	1	3765
11313	5	1	3765
11313	18	1	3765
11313	6	1	3765
11313	19	1	3765
11313	8	1	3765
11313	7	1	3765
11313	20	1	3765
11313	21	1	3765
11313	22	1	3765
11313	3	1	3765
11313	9	1	3765
11313	15	1	3765
11313	1	1	11312
11313	11	1	11312
11313	16	1	11312
11313	2	1	11312
11313	10	1	11312
11313	17	1	11312
11315	4	1	3765
11315	5	1	3765
11315	18	1	3765
11315	6	1	3765
11315	19	1	3765
11315	8	1	3765
11315	7	1	3765
11315	20	1	3765
11315	21	1	3765
11315	22	1	3765
11315	3	1	3765
11315	9	1	3765
11315	15	1	3765
11315	1	1	11314
11315	11	1	11314
11315	16	1	11314
11315	2	1	11314
11315	10	1	11314
11315	17	1	11314
11317	4	1	3765
11317	5	1	3765
11317	18	1	3765
11317	6	1	3765
11317	19	1	3765
11317	8	1	3765
11317	7	1	3765
11317	20	1	3765
11317	21	1	3765
11317	22	1	3765
11317	3	1	3765
11317	9	1	3765
11317	15	1	3765
11317	1	1	11316
11317	11	1	11316
11317	16	1	11316
11317	2	1	11316
11317	10	1	11316
11317	17	1	11316
11319	4	1	3765
