pg_type	11	71	10	0	1247	0	7	283	0	0	true	false	false	r	28	0	true	false	false	false	false	649	{=r/postgres}	
user_mapping_options	11326	11551	10	0	11550	0	0	0	0	0	false	false	false	v	5	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
user_mappings	11326	11555	10	0	11554	0	0	0	0	0	false	false	false	v	3	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
triggered_update_columns	11326	11495	10	0	11494	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
triggers	11326	11498	10	0	11497	0	0	0	0	0	false	false	false	v	17	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
usage_privileges	11326	11502	10	0	11501	0	0	0	0	0	false	false	false	v	8	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
view_column_usage	11326	11506	10	0	11505	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
view_routine_usage	11326	11510	10	0	11509	0	0	0	0	0	false	false	false	v	6	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
view_table_usage	11326	11514	10	0	11513	0	0	0	0	0	false	false	false	v	6	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
views	11326	11518	10	0	11517	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
data_type_privileges	11326	11522	10	0	11521	0	0	0	0	0	false	false	false	v	5	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
element_types	11326	11526	10	0	11525	0	0	0	0	0	false	false	false	v	29	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
_pg_foreign_data_wrappers	11326	11530	10	0	11529	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0		
foreign_data_wrapper_options	11326	11533	10	0	11532	0	0	0	0	0	false	false	false	v	4	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
foreign_data_wrappers	11326	11536	10	0	11535	0	0	0	0	0	false	false	false	v	5	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
_pg_foreign_servers	11326	11539	10	0	11538	0	0	0	0	0	false	false	false	v	9	0	false	false	true	false	false	0		
foreign_server_options	11326	11542	10	0	11541	0	0	0	0	0	false	false	false	v	4	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
pg_statistic	11	10710	10	0	2619	0	13	348	2840	0	true	false	false	r	21	0	false	false	false	false	false	649	{postgres=arwdDxt/postgres}	
foreign_servers	11326	11545	10	0	11544	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
_pg_user_mappings	11326	11548	10	0	11547	0	0	0	0	0	false	false	false	v	7	0	false	false	true	false	false	0		
sequences	11326	11444	10	0	11443	0	0	0	0	0	false	false	false	v	11	0	false	false	true	false	false	0	{postgres=arwdDxt/postgres,=r/postgres}	
sql_features	11326	11448	10	0	11447	0	7	649	11449	0	false	false	false	r	7	0	false	false	false	false	false	649	{postgres=arwdDxt/postgres,=r/postgres}	
pg_toast_11447	99	11450	10	0	11449	0	0	0	0	11451	true	false	false	t	3	0	false	true	false	false	false	649		
pg_toast_11447_index	99	0	10	403	11451	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
sql_implementation_info	11326	11453	10	0	11452	0	1	12	11454	0	false	false	false	r	5	0	false	false	false	false	false	649	{postgres=arwdDxt/postgres,=r/postgres}	
pg_toast_11452	99	11455	10	0	11454	0	0	0	0	11456	true	false	false	t	3	0	false	true	false	false	false	649		
pg_toast_11452_index	99	0	10	403	11456	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
sql_languages	11326	11458	10	0	11457	0	1	4	11459	0	false	false	false	r	7	0	false	false	false	false	false	649	{postgres=arwdDxt/postgres,=r/postgres}	
pg_toast_11457	99	11460	10	0	11459	0	0	0	0	11461	true	false	false	t	3	0	false	true	false	false	false	649		
pg_toast_11457_index	99	0	10	403	11461	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
pg_authid	11	10914	10	0	1260	1664	1	1	2842	0	true	true	false	r	11	0	true	false	false	true	false	649	{postgres=arwdDxt/postgres}	
sql_packages	11326	11463	10	0	11462	0	1	10	11464	0	false	false	false	r	5	0	false	false	false	false	false	649	{postgres=arwdDxt/postgres,=r/postgres}	
pg_toast_11462	99	11465	10	0	11464	0	0	0	0	11466	true	false	false	t	3	0	false	true	false	false	false	649		
pg_toast_11462_index	99	0	10	403	11466	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
sql_parts	11326	11468	10	0	11467	0	1	9	11469	0	false	false	false	r	5	0	false	false	false	false	false	649		
pg_toast_11467	99	11470	10	0	11469	0	0	0	0	11471	true	false	false	t	3	0	false	true	false	false	false	649		
pg_toast_2604	99	10926	10	0	2830	0	0	0	0	2831	true	false	false	t	3	0	false	false	false	false	false	649		
pg_toast_2604_index	99	0	10	403	2831	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
pg_toast_2606	99	10927	10	0	2832	0	0	0	0	2833	true	false	false	t	3	0	false	false	false	false	false	649		
pg_toast_2606_index	99	0	10	403	2833	0	1	0	0	0	false	false	false	i	2	0	false	false	false	false	false	0		
