bool	11	10	1	true	b	B	true	true	,	0	0	1000	boolin	boolout	boolrecv	boolsend	-	-	-	c	p	false	0	-1	0		
bytea	11	10	-1	false	b	U	false	true	,	0	0	1001	byteain	byteaout	bytearecv	byteasend	-	-	-	i	x	false	0	-1	0		
char	11	10	1	true	b	S	false	true	,	0	0	1002	charin	charout	charrecv	charsend	-	-	-	c	p	false	0	-1	0		
name	11	10	64	false	b	S	false	true	,	0	18	1003	namein	nameout	namerecv	namesend	-	-	-	c	p	false	0	-1	0		
int8	11	10	8	false	b	N	false	true	,	0	0	1016	int8in	int8out	int8recv	int8send	-	-	-	d	p	false	0	-1	0		
int2	11	10	2	true	b	N	false	true	,	0	0	1005	int2in	int2out	int2recv	int2send	-	-	-	s	p	false	0	-1	0		
int2vector	11	10	-1	false	b	A	false	true	,	0	21	1006	int2vectorin	int2vectorout	int2vectorrecv	int2vectorsend	-	-	-	i	p	false	0	-1	0		
int4	11	10	4	true	b	N	false	true	,	0	0	1007	int4in	int4out	int4recv	int4send	-	-	-	i	p	false	0	-1	0		
regproc	11	10	4	true	b	N	false	true	,	0	0	1008	regprocin	regprocout	regprocrecv	regprocsend	-	-	-	i	p	false	0	-1	0		
text	11	10	-1	false	b	S	true	true	,	0	0	1009	textin	textout	textrecv	textsend	-	-	-	i	x	false	0	-1	0		
oid	11	10	4	true	b	N	true	true	,	0	0	1028	oidin	oidout	oidrecv	oidsend	-	-	-	i	p	false	0	-1	0		
tid	11	10	6	false	b	U	false	true	,	0	0	1010	tidin	tidout	tidrecv	tidsend	-	-	-	s	p	false	0	-1	0		
xid	11	10	4	true	b	U	false	true	,	0	0	1011	xidin	xidout	xidrecv	xidsend	-	-	-	i	p	false	0	-1	0		
cid	11	10	4	true	b	U	false	true	,	0	0	1012	cidin	cidout	cidrecv	cidsend	-	-	-	i	p	false	0	-1	0		
oidvector	11	10	-1	false	b	A	false	true	,	0	26	1013	oidvectorin	oidvectorout	oidvectorrecv	oidvectorsend	-	-	-	i	p	false	0	-1	0		
pg_type	11	10	-1	false	c	C	false	true	,	1247	0	0	record_in	record_out	record_recv	record_send	-	-	-	d	x	false	0	-1	0		
pg_attribute	11	10	-1	false	c	C	false	true	,	1249	0	0	record_in	record_out	record_recv	record_send	-	-	-	d	x	false	0	-1	0		
pg_proc	11	10	-1	false	c	C	false	true	,	1255	0	0	record_in	record_out	record_recv	record_send	-	-	-	d	x	false	0	-1	0		
pg_class	11	10	-1	false	c	C	false	true	,	1259	0	0	record_in	record_out	record_recv	record_send	-	-	-	d	x	false	0	-1	0		
xml	11	10	-1	false	b	U	false	true	,	0	0	143	xml_in	xml_out	xml_recv	xml_send	-	-	-	i	x	false	0	-1	0		
_xml	11	10	-1	false	b	A	false	true	,	0	142	0	array_in	array_out	array_recv	array_send	-	-	-	i	x	false	0	-1	0		
smgr	11	10	2	true	b	U	false	true	,	0	0	0	smgrin	smgrout	-	-	-	-	-	s	p	false	0	-1	0		
point	11	10	16	false	b	G	false	true	,	0	701	1017	point_in	point_out	point_recv	point_send	-	-	-	d	p	false	0	-1	0		
lseg	11	10	32	false	b	G	false	true	,	0	600	1018	lseg_in	lseg_out	lseg_recv	lseg_send	-	-	-	d	p	false	0	-1	0		
path	11	10	-1	false	b	G	false	true	,	0	0	1019	path_in	path_out	path_recv	path_send	-	-	-	d	x	false	0	-1	0		
box	11	10	32	false	b	G	false	true	;	0	600	1020	box_in	box_out	box_recv	box_send	-	-	-	d	p	false	0	-1	0		
polygon	11	10	-1	false	b	G	false	true	,	0	0	1027	poly_in	poly_out	poly_recv	poly_send	-	-	-	d	x	false	0	-1	0		
line	11	10	32	false	b	G	false	true	,	0	701	629	line_in	line_out	line_recv	line_send	-	-	-	d	p	false	0	-1	0		
_line	11	10	-1	false	b	A	false	true	,	0	628	0	array_in	array_out	array_recv	array_send	-	-	-	d	x	false	0	-1	0		
float4	11	10	4	true	b	N	false	true	,	0	0	1021	float4in	float4out	float4recv	float4send	-	-	-	i	p	false	0	-1	0		
float8	11	10	8	false	b	N	true	true	,	0	0	1022	float8in	float8out	float8recv	float8send	-	-	-	d	p	false	0	-1	0		
abstime	11	10	4	true	b	D	false	true	,	0	0	1023	abstimein	abstimeout	abstimerecv	abstimesend	-	-	-	i	p	false	0	-1	0		
reltime	11	10	4	true	b	T	false	true	,	0	0	1024	reltimein	reltimeout	reltimerecv	reltimesend	-	-	-	i	p	false	0	-1	0		
tinterval	11	10	12	false	b	T	false	true	,	0	0	1025	tintervalin	tintervalout	tintervalrecv	tintervalsend	-	-	-	i	p	false	0	-1	0		
unknown	11	10	-2	false	b	X	false	true	,	0	0	0	unknownin	unknownout	unknownrecv	unknownsend	-	-	-	c	p	false	0	-1	0		
circle	11	10	24	false	b	G	false	true	,	0	0	719	circle_in	circle_out	circle_recv	circle_send	-	-	-	d	p	false	0	-1	0		
_circle	11	10	-1	false	b	A	false	true	,	0	718	0	array_in	array_out	array_recv	array_send	-	-	-	d	x	false	0	-1	0		
money	11	10	8	false	b	N	false	true	,	0	0	791	cash_in	cash_out	cash_recv	cash_send	-	-	-	d	p	false	0	-1	0		
_money	11	10	-1	false	b	A	false	true	,	0	790	0	array_in	array_out	array_recv	array_send	-	-	-	d	x	false	0	-1	0		
macaddr	11	10	6	false	b	U	false	true	,	0	0	1040	macaddr_in	macaddr_out	macaddr_recv	macaddr_send	-	-	-	i	p	false	0	-1	0		
