2745	1182	1182	3	ginqueryarrayextract
2745	1182	1182	4	ginarrayconsistent
2745	1021	1021	1	btfloat4cmp
2745	1021	1021	2	ginarrayextract
2745	1021	1021	3	ginqueryarrayextract
2745	1021	1021	4	ginarrayconsistent
2745	1022	1022	1	btfloat8cmp
2745	1022	1022	2	ginarrayextract
2745	1022	1022	3	ginqueryarrayextract
2745	1022	1022	4	ginarrayconsistent
2745	1041	1041	1	network_cmp
2745	1041	1041	2	ginarrayextract
2745	1041	1041	3	ginqueryarrayextract
2745	1041	1041	4	ginarrayconsistent
2745	651	651	1	network_cmp
2745	651	651	2	ginarrayextract
2745	651	651	3	ginqueryarrayextract
2745	651	651	4	ginarrayconsistent
2745	1005	1005	1	btint2cmp
2745	1005	1005	2	ginarrayextract
2745	1005	1005	3	ginqueryarrayextract
2745	1005	1005	4	ginarrayconsistent
2745	1016	1016	1	btint8cmp
2745	1016	1016	2	ginarrayextract
2745	1016	1016	3	ginqueryarrayextract
2745	1016	1016	4	ginarrayconsistent
2745	1187	1187	1	interval_cmp
2745	1187	1187	2	ginarrayextract
2745	1187	1187	3	ginqueryarrayextract
2745	1187	1187	4	ginarrayconsistent
2745	1040	1040	1	macaddr_cmp
2745	1040	1040	2	ginarrayextract
2745	1040	1040	3	ginqueryarrayextract
2745	1040	1040	4	ginarrayconsistent
2745	1003	1003	1	btnamecmp
2745	1003	1003	2	ginarrayextract
2745	1003	1003	3	ginqueryarrayextract
2745	1003	1003	4	ginarrayconsistent
2745	1231	1231	1	numeric_cmp
2745	1231	1231	2	ginarrayextract
2745	1231	1231	3	ginqueryarrayextract
2745	1231	1231	4	ginarrayconsistent
2745	1028	1028	1	btoidcmp
2745	1028	1028	2	ginarrayextract
2745	1028	1028	3	ginqueryarrayextract
2745	1028	1028	4	ginarrayconsistent
2745	1013	1013	1	btoidvectorcmp
2745	1013	1013	2	ginarrayextract
2745	1013	1013	3	ginqueryarrayextract
2745	1013	1013	4	ginarrayconsistent
2745	1183	1183	1	time_cmp
2745	1183	1183	2	ginarrayextract
2745	1183	1183	3	ginqueryarrayextract
2745	1183	1183	4	ginarrayconsistent
2745	1185	1185	1	timestamptz_cmp
2745	1185	1185	2	ginarrayextract
2745	1185	1185	3	ginqueryarrayextract
2745	1185	1185	4	ginarrayconsistent
2745	1270	1270	1	timetz_cmp
2745	1270	1270	2	ginarrayextract
2745	1270	1270	3	ginqueryarrayextract
2745	1270	1270	4	ginarrayconsistent
2745	1563	1563	1	varbitcmp
2745	1563	1563	2	ginarrayextract
2745	1563	1563	3	ginqueryarrayextract
2745	1563	1563	4	ginarrayconsistent
2745	1115	1115	1	timestamp_cmp
2745	1115	1115	2	ginarrayextract
2745	1115	1115	3	ginqueryarrayextract
2745	1115	1115	4	ginarrayconsistent
2745	791	791	1	cash_cmp
2745	791	791	2	ginarrayextract
2745	791	791	3	ginqueryarrayextract
2745	791	791	4	ginarrayconsistent
2745	1024	1024	1	btreltimecmp
2745	1024	1024	2	ginarrayextract
2745	1024	1024	3	ginqueryarrayextract
2745	1024	1024	4	ginarrayconsistent
2745	1025	1025	1	bttintervalcmp
2745	1025	1025	2	ginarrayextract
2745	1025	1025	3	ginqueryarrayextract
2745	1025	1025	4	ginarrayconsistent
3659	3614	3614	1	gin_cmp_tslexeme
3659	3614	3614	2	gin_extract_tsvector
3659	3614	3614	3	gin_extract_tsquery
3659	3614	3614	4	gin_tsquery_consistent
3659	3614	3614	5	gin_cmp_prefix
3626	3614	3614	1	tsvector_cmp
3683	3615	3615	1	tsquery_cmp
