pg_catalog	pg_type	typoutput	0	4	-0.2508834	{record_out,array_out,varcharout}	{0.5300353169441223,0.208480566740036,0.010600706562399864}	{byteaout,charout,nameout,int2out,int2vectorout,int4out,int4out,regprocout,textout,textout,tidout,xidout,cidout,oidvectorout,unknownout,point_out,lseg_out,path_out,box_out,float4out,float8out,abstimeout,reltimeout,poly_out,macaddr_out,int8out,smgrout,cash_out,inet_out,aclitemout,bpcharout,date_out,time_out,timestamptz_out,timestamptz_out,interval_out,boolout,timestamp_out,timetz_out,cidr_out,circle_out,line_out,bit_out,varbit_out,numeric_out,regprocedureout,regoperout,regoperatorout,regclassout,regtypeout,cstring_out,any_out,anyarray_out,void_out,trigger_out,language_handler_out,internal_out,opaque_out,anyelement_out,anynonarray_out,xml_out,txid_snapshot_out,uuid_out,anyenum_out,tsvectorout,tsqueryout,gtsvectorout,regdictionaryout}	0.806854
pg_catalog	pg_type	typreceive	0	4	-0.2155477	{record_recv,array_recv,-,domain_recv}	{0.5300353169441223,0.208480566740036,0.04240282624959946,0.01413427572697401}	{int2recv,int4recv,int8recv,int2vectorrecv,bytearecv,textrecv,textrecv,unknownrecv,oidrecv,oidvectorrecv,namerecv,float4recv,float8recv,point_recv,bpcharrecv,varcharrecv,charrecv,boolrecv,tidrecv,xidrecv,cidrecv,regprocrecv,regprocedurerecv,regoperrecv,regoperatorrecv,regclassrecv,regtyperecv,bit_recv,varbit_recv,numeric_recv,abstimerecv,reltimerecv,tintervalrecv,date_recv,time_recv,timetz_recv,timestamp_recv,timestamptz_recv,interval_recv,lseg_recv,path_recv,box_recv,poly_recv,line_recv,circle_recv,cash_recv,macaddr_recv,inet_recv,cidr_recv,cstring_recv,anyarray_recv,xml_recv,txid_snapshot_recv,uuid_recv,tsvectorrecv,tsqueryrecv,regdictionaryrecv}	0.18553461
pg_catalog	pg_type	typsend	0	4	-0.21201414	{record_send,array_send,-,varcharsend}	{0.5300353169441223,0.208480566740036,0.04240282624959946,0.010600706562399864}	{int2send,int4send,int4send,int8send,int2vectorsend,byteasend,textsend,textsend,unknownsend,oidsend,oidvectorsend,namesend,float4send,float8send,point_send,bpcharsend,charsend,boolsend,tidsend,cidsend,regprocsend,regproceduresend,regopersend,regoperatorsend,regclasssend,regtypesend,bit_send,varbit_send,numeric_send,abstimesend,reltimesend,tintervalsend,date_send,time_send,timetz_send,timestamp_send,timestamptz_send,interval_send,lseg_send,path_send,box_send,poly_send,line_send,circle_send,cash_send,macaddr_send,inet_send,cidr_send,cstring_send,anyarray_send,xml_send,txid_snapshot_send,uuid_send,tsvectorsend,tsquerysend,regdictionarysend}	0.17397188
pg_catalog	pg_type	typmodin	0	4	11	{-,varbittypmodin,intervaltypmodin,timestamptypmodin,timestamptztypmodin,timetypmodin,timetztypmodin,bpchartypmodin,varchartypmodin,numerictypmodin,bittypmodin}	{0.9293286204338074,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005}		0.7876147
pg_catalog	pg_type	typmodout	0	4	11	{-,intervaltypmodout,timestamptypmodout,timestamptztypmodout,timetypmodout,timetztypmodout,bpchartypmodout,varchartypmodout,numerictypmodout,bittypmodout,varbittypmodout}	{0.9293286204338074,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005,0.007067137863487005}		0.7878318
pg_catalog	pg_type	typanalyze	0	4	2	{-}	{0.9964664578437805}		0.9920312
pg_catalog	pg_type	typalign	0	1	4	{d,i,c,s}	{0.6537102460861206,0.31448763608932495,0.02120141312479973,0.010600706562399864}		0.012749227
pg_catalog	pg_type	typstorage	0	1	3	{x,p,m}	{0.7915194630622864,0.1978798657655716,0.010600706562399864}		0.9346666
pg_catalog	pg_type	typnotnull	0	1	1	{f}	{1.00000000}		1
pg_catalog	pg_type	typbasetype	0	4	4	{0}	{0.9858657121658325}	{23,1043,1184}	0.9957014
